year,naics,naics_title,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3051,Industrial Production Managers,2730.0,61.66,128250.0,53.78,111860.0,65890.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3061,Purchasing Managers,460.0,62.94,130910.0,57.26,119090.0,66820.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3071,"Transportation, Storage, and Distribution Managers",540.0,55.39,115210.0,47.86,99540.0,60060.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3111,Compensation and Benefits Managers,70.0,68.41,142280.0,66.11,137510.0,73330.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3121,Human Resources Managers,670.0,64.01,133140.0,57.55,119700.0,66770.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-3131,Training and Development Managers,100.0,66.24,137770.0,60.79,126450.0,78950.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-9021,Construction Managers,3070.0,57.39,119380.0,49.47,102890.0,52500.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-9041,Architectural and Engineering Managers,2900.0,85.72,178290.0,76.84,159820.0,95710.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-9051,Food Service Managers,40.0,29.83,62060.0,27.38,56950.0,42290.0,88910.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-9121,Natural Sciences Managers,250.0,88.28,183630.0,76.95,160070.0,86910.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-9141,"Property, Real Estate, and Community Association Managers",1570.0,62.88,130790.0,48.68,101260.0,46510.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",11-9199,"Managers, All Other",2120.0,66.6,138530.0,59.21,123160.0,63400.0,
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1022,"Wholesale and Retail Buyers, Except Farm Products",90.0,30.44,63310.0,27.25,56680.0,33490.0,117510.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3190.0,36.33,75570.0,33.31,69270.0,40860.0,121710.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1041,Compliance Officers,2870.0,36.81,76560.0,34.44,71630.0,42820.0,117410.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1051,Cost Estimators,440.0,41.1,85480.0,35.8,74470.0,45420.0,128410.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1071,Human Resources Specialists,2580.0,35.66,74170.0,32.71,68040.0,40380.0,117410.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1075,Labor Relations Specialists,50.0,37.36,77710.0,38.24,79530.0,18900.0,115050.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1081,Logisticians,1380.0,42.36,88120.0,36.19,75280.0,45440.0,144650.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1111,Management Analysts,1620.0,50.25,104530.0,43.34,90140.0,51650.0,177550.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1121,"Meeting, Convention, and Event Planners",120.0,31.26,65010.0,24.47,50900.0,32730.0,122180.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1141,"Compensation, Benefits, and Job Analysis Specialists",310.0,34.9,72580.0,33.07,68780.0,40940.0,113870.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1151,Training and Development Specialists,1040.0,36.9,76750.0,35.59,74030.0,41000.0,119360.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1161,Market Research Analysts and Marketing Specialists,580.0,43.96,91430.0,42.03,87410.0,45100.0,149790.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-1199,"Business Operations Specialists, All Other",7380.0,42.83,89100.0,36.53,75980.0,39510.0,156500.0
2015,21,"Mining, Quarrying, and Oil and Gas Extraction",13-2011,Accountants and Auditors,13580.0,41.97,87300.0,36.47,75860.0,43230.0,149080.0
