year,region,occ_code,occ_title,employment_level,wage_hourly_mean,wage_annual_mean,wage_hourly_median,wage_annual_median,wage_annual_pct10,wage_annual_pct90
2015,US,25-1125,"History Teachers, Postsecondary",23680.0,,76670.0,,69400.0,36730.0,125620.0
2015,US,25-1126,"Philosophy and Religion Teachers, Postsecondary",23820.0,,75140.0,,66380.0,35280.0,125050.0
2015,US,25-1191,Graduate Teaching Assistants,125100.0,,32510.0,,30810.0,17800.0,50220.0
2015,US,25-1192,"Home Economics Teachers, Postsecondary",3650.0,,69090.0,,64950.0,32210.0,116290.0
2015,US,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",17980.0,,66090.0,,59280.0,29660.0,114150.0
2015,US,25-1194,"Vocational Education Teachers, Postsecondary",119800.0,26.09,54260.0,23.79,49470.0,27590.0,88910.0
2015,US,25-1199,"Postsecondary Teachers, All Other",191220.0,,71060.0,,63000.0,23100.0,124000.0
2015,US,25-2011,"Preschool Teachers, Except Special Education",370190.0,15.62,32500.0,13.74,28570.0,19130.0,51990.0
2015,US,25-2012,"Kindergarten Teachers, Except Special Education",158150.0,,54510.0,,51640.0,33940.0,79960.0
2015,US,25-2021,"Elementary School Teachers, Except Special Education",1381430.0,,57730.0,,54890.0,36190.0,85550.0
2015,US,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",632760.0,,58760.0,,55860.0,37350.0,87060.0
2015,US,25-2023,"Career/Technical Education Teachers, Middle School",13090.0,,58480.0,,55190.0,37130.0,86720.0
2015,US,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",962820.0,,60440.0,,57200.0,37800.0,91190.0
2015,US,25-2032,"Career/Technical Education Teachers, Secondary School",77430.0,,58170.0,,56130.0,38320.0,83180.0
2015,US,25-2051,"Special Education Teachers, Preschool",29230.0,,58210.0,,53990.0,33400.0,91280.0
2015,US,25-2052,"Special Education Teachers, Kindergarten and Elementary School",195780.0,,58640.0,,55810.0,36900.0,86990.0
2015,US,25-2053,"Special Education Teachers, Middle School",91050.0,,60300.0,,57280.0,38320.0,89820.0
2015,US,25-2054,"Special Education Teachers, Secondary School",129770.0,,62180.0,,58500.0,38890.0,94200.0
2015,US,25-2059,"Special Education Teachers, All Other",38410.0,,57670.0,,53920.0,31730.0,90420.0
2015,US,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,65110.0,25.99,54060.0,24.17,50280.0,28870.0,83140.0
2015,US,25-3021,Self-Enrichment Education Teachers,217530.0,20.36,42350.0,17.64,36680.0,19050.0,73610.0
2015,US,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",272920.0,,47410.0,,40140.0,19370.0,83140.0
2015,US,25-3098,Substitute Teachers,626750.0,14.25,29630.0,12.9,26830.0,17980.0,44400.0
2015,US,25-4011,Archivists,5460.0,25.9,53880.0,24.16,50250.0,30430.0,86040.0
